TP,FP,TN,FN,TPR,FPR,TNR,FNR,est_p,est_r,est_f1,Gran,est_plagDetect
1,0,10999,0,1,0,1,0,1,1,0.819194544483109,1,0.819194544483109
1,0,10999,0,1,0,1,0,1,1,0.832850663978439,1,0.832850663978439
1,0,10999,0,1,0,1,0,1,1,0.897010002192919,1,0.897010002192919
1,0,10999,0,1,0,1,0,1,1,0.824087485081343,1,0.824087485081343
1,0,10999,0,1,0,1,0,1,1,0.914050288238212,1,0.914050288238212
1,0,10999,0,1,0,1,0,1,1,0.825783438782373,1,0.825783438782373
1,0,10999,0,1,0,1,0,1,1,0.888102162848699,1,0.888102162848699
1,0,10999,0,1,0,1,0,1,1,0.874315827543508,1,0.874315827543508
1,0,10999,0,1,0,1,0,1,1,0.849883880848969,1,0.849883880848969
1,0,10999,0,1,0,1,0,1,1,0.881076581512051,1,0.881076581512051
1,0,10999,0,1,0,1,0,1,1,0.839994453865711,1,0.839994453865711
1,0,10999,0,1,0,1,0,1,1,0.889187523800831,1,0.889187523800831
1,0,10999,0,1,0,1,0,1,1,0.875124181226024,1,0.875124181226024
1,0,10999,0,1,0,1,0,1,1,0.843856361940054,1,0.843856361940054
1,0,10999,0,1,0,1,0,1,1,0.866164569697562,1,0.866164569697562
1,0,10999,0,1,0,1,0,1,1,0.87036755253195,1,0.87036755253195
1,0,10999,0,1,0,1,0,1,1,0.860542481603621,1,0.860542481603621
1,0,10999,0,1,0,1,0,1,1,0.845202425384322,1,0.845202425384322
1,0,10999,0,1,0,1,0,1,1,0.886533320285271,1,0.886533320285271
1,0,10999,0,1,0,1,0,1,1,0.883404926643156,1,0.883404926643156
1,0,10999,0,1,0,1,0,1,1,0.857321084900338,1,0.857321084900338
1,0,10999,0,1,0,1,0,1,1,0.803701597671843,1,0.803701597671843
1,0,10999,0,1,0,1,0,1,1,0.830557000057761,1,0.830557000057761
1,0,10999,0,1,0,1,0,1,1,0.905352098597282,1,0.905352098597282
1,0,10999,0,1,0,1,0,1,1,0.890021768758081,1,0.890021768758081
1,0,10999,0,1,0,1,0,1,1,0.863222365945561,1,0.863222365945561
1,0,10999,0,1,0,1,0,1,1,0.870097277897278,1,0.870097277897278
1,0,10999,0,1,0,1,0,1,1,0.863673463008471,1,0.863673463008471
1,0,10999,0,1,0,1,0,1,1,0.901971160649834,1,0.901971160649834
1,0,10999,0,1,0,1,0,1,1,0.922614581995802,1,0.922614581995802
1,0,10999,0,1,0,1,0,1,1,0.837678403039282,1,0.837678403039282
1,0,10999,0,1,0,1,0,1,1,0.829993640685435,1,0.829993640685435
1,0,10999,0,1,0,1,0,1,1,0.881175238573015,1,0.881175238573015
1,0,10999,0,1,0,1,0,1,1,0.849742270148824,1,0.849742270148824
1,0,10999,0,1,0,1,0,1,1,0.889024171089255,1,0.889024171089255
1,0,10999,0,1,0,1,0,1,1,0.860542635766345,1,0.860542635766345
0,10,10989,1,0,0.000909173561232839,0.999090826438767,1,0,0,0.861941292140975,1,0.861941292140975
1,0,10999,0,1,0,1,0,1,1,0.890471073794124,1,0.890471073794124
1,0,10999,0,1,0,1,0,1,1,0.858213271158081,1,0.858213271158081
1,0,10999,0,1,0,1,0,1,1,0.908409985598157,1,0.908409985598157
1,0,10999,0,1,0,1,0,1,1,0.875146630086163,1,0.875146630086163
1,0,10999,0,1,0,1,0,1,1,0.911186814066163,1,0.911186814066163
1,0,10999,0,1,0,1,0,1,1,0.852841348234952,1,0.852841348234952
1,0,10999,0,1,0,1,0,1,1,0.873553628972538,1,0.873553628972538
1,0,10999,0,1,0,1,0,1,1,0.822946932937815,1,0.822946932937815
1,0,10999,0,1,0,1,0,1,1,0.849524369889666,1,0.849524369889666
1,0,10999,0,1,0,1,0,1,1,0.886880070604409,1,0.886880070604409
1,0,10999,0,1,0,1,0,1,1,0.828166696741005,1,0.828166696741005
1,0,10999,0,1,0,1,0,1,1,0.884280769419187,1,0.884280769419187
1,0,10999,0,1,0,1,0,1,1,0.917998712533211,1,0.917998712533211
1,0,10999,0,1,0,1,0,1,1,0.807810980142544,1,0.807810980142544
1,0,10999,0,1,0,1,0,1,1,0.852342237242705,1,0.852342237242705
1,0,10999,0,1,0,1,0,1,1,0.846129518320646,1,0.846129518320646
1,0,10999,0,1,0,1,0,1,1,0.893451946445526,1,0.893451946445526
1,0,10999,0,1,0,1,0,1,1,0.848764881235148,1,0.848764881235148
1,0,10999,0,1,0,1,0,1,1,0.868709266116301,1,0.868709266116301
1,0,10999,0,1,0,1,0,1,1,0.819858437525189,1,0.819858437525189
1,0,10999,0,1,0,1,0,1,1,0.840255505869229,1,0.840255505869229
1,0,10999,0,1,0,1,0,1,1,0.858125442704428,1,0.858125442704428
1,0,10999,0,1,0,1,0,1,1,0.896304539217958,1,0.896304539217958
1,0,10999,0,1,0,1,0,1,1,0.860221139514888,1,0.860221139514888
1,0,10999,0,1,0,1,0,1,1,0.902753076108061,1,0.902753076108061
1,0,10999,0,1,0,1,0,1,1,0.891470611169311,1,0.891470611169311
1,0,10999,0,1,0,1,0,1,1,0.846258999980613,1,0.846258999980613
1,0,10999,0,1,0,1,0,1,1,0.860875314723314,1,0.860875314723314
1,0,10999,0,1,0,1,0,1,1,0.859668505452927,1,0.859668505452927
1,0,10999,0,1,0,1,0,1,1,0.856960746906107,1,0.856960746906107
1,0,10999,0,1,0,1,0,1,1,0.901734996427721,1,0.901734996427721
1,0,10999,0,1,0,1,0,1,1,0.873829731076005,1,0.873829731076005
1,0,10999,0,1,0,1,0,1,1,0.880890499579792,1,0.880890499579792
1,0,10999,0,1,0,1,0,1,1,0.909498865941389,1,0.909498865941389
1,0,10999,0,1,0,1,0,1,1,0.84437267592312,1,0.84437267592312
1,0,10999,0,1,0,1,0,1,1,0.866648919871875,1,0.866648919871875
1,0,10999,0,1,0,1,0,1,1,0.834772765218272,1,0.834772765218272
1,0,10999,0,1,0,1,0,1,1,0.874305624880858,1,0.874305624880858
1,0,10999,0,1,0,1,0,1,1,0.913659395068861,1,0.913659395068861
1,0,10999,0,1,0,1,0,1,1,0.883476540059511,1,0.883476540059511
1,0,10999,0,1,0,1,0,1,1,0.885053275712341,1,0.885053275712341
1,0,10999,0,1,0,1,0,1,1,0.872574638665078,1,0.872574638665078
1,0,10999,0,1,0,1,0,1,1,0.853572683983537,1,0.853572683983537
1,0,10999,0,1,0,1,0,1,1,0.848861049850503,1,0.848861049850503
1,0,10999,0,1,0,1,0,1,1,0.873943403464984,1,0.873943403464984
1,0,10999,0,1,0,1,0,1,1,0.901606438478828,1,0.901606438478828
1,0,10999,0,1,0,1,0,1,1,0.867166161480556,1,0.867166161480556
1,0,10999,0,1,0,1,0,1,1,0.906907281996608,1,0.906907281996608
1,0,10999,0,1,0,1,0,1,1,0.828996159562389,1,0.828996159562389
1,0,10999,0,1,0,1,0,1,1,0.856664150750951,1,0.856664150750951
1,0,10999,0,1,0,1,0,1,1,0.85322658434813,1,0.85322658434813
1,0,10999,0,1,0,1,0,1,1,0.864184799442413,1,0.864184799442413
1,0,10999,0,1,0,1,0,1,1,0.845012144428092,1,0.845012144428092
1,0,10999,0,1,0,1,0,1,1,0.901076462663304,1,0.901076462663304
1,0,10999,0,1,0,1,0,1,1,0.870279192116981,1,0.870279192116981
1,0,10999,0,1,0,1,0,1,1,0.874601534361861,1,0.874601534361861
1,0,10999,0,1,0,1,0,1,1,0.854847112056701,1,0.854847112056701
1,0,10999,0,1,0,1,0,1,1,0.866301272278572,1,0.866301272278572
1,0,10999,0,1,0,1,0,1,1,0.866401148811536,1,0.866401148811536
1,0,10999,0,1,0,1,0,1,1,0.889983422375996,1,0.889983422375996
1,0,10999,0,1,0,1,0,1,1,0.84368798563186,1,0.84368798563186
1,0,10999,0,1,0,1,0,1,1,0.884186149537756,1,0.884186149537756
1,0,10999,0,1,0,1,0,1,1,0.861363526757295,1,0.861363526757295
1,0,10999,0,1,0,1,0,1,1,0.877553678279107,1,0.877553678279107
1,0,10999,0,1,0,1,0,1,1,0.896150635170546,1,0.896150635170546
1,0,10999,0,1,0,1,0,1,1,0.850793191882696,1,0.850793191882696
1,0,10999,0,1,0,1,0,1,1,0.822839736146912,1,0.822839736146912
1,0,10999,0,1,0,1,0,1,1,0.890488990525988,1,0.890488990525988
1,0,10999,0,1,0,1,0,1,1,0.864826325141508,1,0.864826325141508
1,0,10999,0,1,0,1,0,1,1,0.879560466767419,1,0.879560466767419
1,0,10999,0,1,0,1,0,1,1,0.872470925090345,1,0.872470925090345
1,0,10999,0,1,0,1,0,1,1,0.870713128237799,1,0.870713128237799
1,0,10999,0,1,0,1,0,1,1,0.859668463053658,1,0.859668463053658
1,0,10999,0,1,0,1,0,1,1,0.847716834672853,1,0.847716834672853
1,0,10999,0,1,0,1,0,1,1,0.901897750704765,1,0.901897750704765
1,0,10999,0,1,0,1,0,1,1,0.85621299576588,1,0.85621299576588
1,0,10999,0,1,0,1,0,1,1,0.837184075331588,1,0.837184075331588
1,0,10999,0,1,0,1,0,1,1,0.905876381351114,1,0.905876381351114
1,0,10999,0,1,0,1,0,1,1,0.856547687300983,1,0.856547687300983
1,0,10999,0,1,0,1,0,1,1,0.867135275811318,1,0.867135275811318
1,0,10999,0,1,0,1,0,1,1,0.874481663331939,1,0.874481663331939
1,0,10999,0,1,0,1,0,1,1,0.894880683240623,1,0.894880683240623
1,0,10999,0,1,0,1,0,1,1,0.848702847259339,1,0.848702847259339
1,0,10999,0,1,0,1,0,1,1,0.821792743216148,1,0.821792743216148
1,0,10999,0,1,0,1,0,1,1,0.87662851630307,1,0.87662851630307
1,0,10999,0,1,0,1,0,1,1,0.904980167842273,1,0.904980167842273
1,0,10999,0,1,0,1,0,1,1,0.807904963607461,1,0.807904963607461
1,0,10999,0,1,0,1,0,1,1,0.893815336547743,1,0.893815336547743
1,0,10999,0,1,0,1,0,1,1,0.863539690383181,1,0.863539690383181
1,0,10999,0,1,0,1,0,1,1,0.8480296018781,1,0.8480296018781
1,0,10999,0,1,0,1,0,1,1,0.825507172994927,1,0.825507172994927
1,0,10999,0,1,0,1,0,1,1,0.842099461221412,1,0.842099461221412
1,0,10999,0,1,0,1,0,1,1,0.854783500232786,1,0.854783500232786
1,0,10999,0,1,0,1,0,1,1,0.834924970177257,1,0.834924970177257
1,0,10999,0,1,0,1,0,1,1,0.890667610397017,1,0.890667610397017
1,0,10999,0,1,0,1,0,1,1,0.852066547575441,1,0.852066547575441
1,0,10999,0,1,0,1,0,1,1,0.881063800448994,1,0.881063800448994
1,0,10999,0,1,0,1,0,1,1,0.872018515388912,1,0.872018515388912
1,0,10999,0,1,0,1,0,1,1,0.892518968905909,1,0.892518968905909
1,0,10999,0,1,0,1,0,1,1,0.914523440764735,1,0.914523440764735
1,0,10999,0,1,0,1,0,1,1,0.839953566039542,1,0.839953566039542
1,0,10999,0,1,0,1,0,1,1,0.837659225645185,1,0.837659225645185
1,0,10999,0,1,0,1,0,1,1,0.889930566719219,1,0.889930566719219
1,0,10999,0,1,0,1,0,1,1,0.896164305701837,1,0.896164305701837
1,0,10999,0,1,0,1,0,1,1,0.921449599420285,1,0.921449599420285
1,0,10999,0,1,0,1,0,1,1,0.895498685316799,1,0.895498685316799
1,0,10999,0,1,0,1,0,1,1,0.909953983952954,1,0.909953983952954
1,0,10999,0,1,0,1,0,1,1,0.866278404819917,1,0.866278404819917
1,0,10999,0,1,0,1,0,1,1,0.819948029595895,1,0.819948029595895
1,0,10999,0,1,0,1,0,1,1,0.878198200285623,1,0.878198200285623
1,0,10999,0,1,0,1,0,1,1,0.861472657189432,1,0.861472657189432
1,0,10999,0,1,0,1,0,1,1,0.846093464148456,1,0.846093464148456
1,0,10999,0,1,0,1,0,1,1,0.856267397583175,1,0.856267397583175
1,0,10999,0,1,0,1,0,1,1,0.902799840891853,1,0.902799840891853
1,0,10999,0,1,0,1,0,1,1,0.846535364951296,1,0.846535364951296
1,0,10999,0,1,0,1,0,1,1,0.86449711019868,1,0.86449711019868
1,0,10999,0,1,0,1,0,1,1,0.855005222594688,1,0.855005222594688
1,0,10999,0,1,0,1,0,1,1,0.789065496887463,1,0.789065496887463
1,0,10999,0,1,0,1,0,1,1,0.865027080855496,1,0.865027080855496
1,0,10999,0,1,0,1,0,1,1,0.905342984867385,1,0.905342984867385
0,4,10995,1,0,0.000363669424493136,0.999636330575507,1,0,0,0.883822183732102,1,0.883822183732102
1,0,10999,0,1,0,1,0,1,1,0.896634241345077,1,0.896634241345077
1,0,10999,0,1,0,1,0,1,1,0.889814171627902,1,0.889814171627902
1,0,10999,0,1,0,1,0,1,1,0.794115366344483,1,0.794115366344483
1,0,10999,0,1,0,1,0,1,1,0.895103073717128,1,0.895103073717128
1,0,10999,0,1,0,1,0,1,1,0.857843761589606,1,0.857843761589606
1,0,10999,0,1,0,1,0,1,1,0.899061586494782,1,0.899061586494782
1,0,10999,0,1,0,1,0,1,1,0.843100760011268,1,0.843100760011268
1,0,10999,0,1,0,1,0,1,1,0.875970530866925,1,0.875970530866925
1,0,10999,0,1,0,1,0,1,1,0.840405225312799,1,0.840405225312799
1,0,10999,0,1,0,1,0,1,1,0.853467322964502,1,0.853467322964502
1,0,10999,0,1,0,1,0,1,1,0.883937918606007,1,0.883937918606007
1,0,10999,0,1,0,1,0,1,1,0.886654992610546,1,0.886654992610546
1,0,10999,0,1,0,1,0,1,1,0.834031516074439,1,0.834031516074439
1,0,10999,0,1,0,1,0,1,1,0.83396094434933,1,0.83396094434933
1,0,10999,0,1,0,1,0,1,1,0.881007059262439,1,0.881007059262439
1,0,10999,0,1,0,1,0,1,1,0.892999643191637,1,0.892999643191637
1,0,10999,0,1,0,1,0,1,1,0.869238542884378,1,0.869238542884378
1,0,10999,0,1,0,1,0,1,1,0.854916720421186,1,0.854916720421186
1,0,10999,0,1,0,1,0,1,1,0.848400511333376,1,0.848400511333376
1,0,10999,0,1,0,1,0,1,1,0.882464097280694,1,0.882464097280694
1,0,10999,0,1,0,1,0,1,1,0.891758369498288,1,0.891758369498288
1,0,10999,0,1,0,1,0,1,1,0.911060966491835,1,0.911060966491835
1,0,10999,0,1,0,1,0,1,1,0.872300837016932,1,0.872300837016932
1,0,10999,0,1,0,1,0,1,1,0.842902392719453,1,0.842902392719453
1,0,10999,0,1,0,1,0,1,1,0.864059312029479,1,0.864059312029479
1,0,10999,0,1,0,1,0,1,1,0.900669691763755,1,0.900669691763755
1,0,10999,0,1,0,1,0,1,1,0.855438000440496,1,0.855438000440496
1,0,10999,0,1,0,1,0,1,1,0.850079976791169,1,0.850079976791169
1,0,10999,0,1,0,1,0,1,1,0.863884135773456,1,0.863884135773456
1,0,10999,0,1,0,1,0,1,1,0.894608856309581,1,0.894608856309581
1,0,10999,0,1,0,1,0,1,1,0.872209902783681,1,0.872209902783681
1,0,10999,0,1,0,1,0,1,1,0.807085092233545,1,0.807085092233545
1,0,10999,0,1,0,1,0,1,1,0.873338989760544,1,0.873338989760544
1,0,10999,0,1,0,1,0,1,1,0.896227055398037,1,0.896227055398037
1,0,10999,0,1,0,1,0,1,1,0.823616105267069,1,0.823616105267069
1,0,10999,0,1,0,1,0,1,1,0.896383034298412,1,0.896383034298412
1,0,10999,0,1,0,1,0,1,1,0.883471528692311,1,0.883471528692311
1,0,10999,0,1,0,1,0,1,1,0.90517749290611,1,0.90517749290611
1,0,10999,0,1,0,1,0,1,1,0.881417888125784,1,0.881417888125784
1,0,10999,0,1,0,1,0,1,1,0.86529629807867,1,0.86529629807867
1,0,10999,0,1,0,1,0,1,1,0.823772060290811,1,0.823772060290811
1,0,10999,0,1,0,1,0,1,1,0.885898986225587,1,0.885898986225587
1,0,10999,0,1,0,1,0,1,1,0.898140144399574,1,0.898140144399574
1,0,10999,0,1,0,1,0,1,1,0.818964258721341,1,0.818964258721341
1,0,10999,0,1,0,1,0,1,1,0.849488121817078,1,0.849488121817078
1,0,10999,0,1,0,1,0,1,1,0.903358014704505,1,0.903358014704505
1,0,10999,0,1,0,1,0,1,1,0.78410021753066,1,0.78410021753066
1,0,10999,0,1,0,1,0,1,1,0.872996766375628,1,0.872996766375628
1,0,10999,0,1,0,1,0,1,1,0.824586461201074,1,0.824586461201074
1,0,10999,0,1,0,1,0,1,1,0.857133100049351,1,0.857133100049351
1,0,10999,0,1,0,1,0,1,1,0.887324065232066,1,0.887324065232066
1,0,10999,0,1,0,1,0,1,1,0.863303144058159,1,0.863303144058159
1,0,10999,0,1,0,1,0,1,1,0.854654436216146,1,0.854654436216146
1,0,10999,0,1,0,1,0,1,1,0.898635813125184,1,0.898635813125184
1,0,10999,0,1,0,1,0,1,1,0.863518796005928,1,0.863518796005928
1,0,10999,0,1,0,1,0,1,1,0.881220434304041,1,0.881220434304041
1,0,10999,0,1,0,1,0,1,1,0.877893779202154,1,0.877893779202154
